name,bio,expertises,total_ratings,avarage_rating
Simony Almeida,"Avaliação, Diagnóstico e Tratamento em TDAH | Ansiedade | Compulsões | Depressão | Comunicação | Aprendizagem | Traumas | Estresse Agudo e Adaptação | Sintomas Somáticos | Disfunções Sexuais, , Olá, seja bem-vindo/a aqui! Meu nome é Simony Almeida e sou psicóloga, Especialista em Psicologia Clínica e formada também em Neuropsicologia, atuando integralmente e com dedicação exclusiva aos estudos e práticas da área como psicoterapia, diagnósticos e prognósticos, avaliação psicológica, intervenção e acompanhamento psicológico, habilitação e reabilitação cognitiva e neuropsicológica, treinamento de habilidades sociais e comportamentais, incluindo desenvolvimento pessoal e profissional, como gestão de carreira, competências e liderança. Assim, a clínica não é apenas uma especialização teórica, mas experiência com mais de 10.000 horas de prática no desenvolvimento de processos terapêuticos, incluindo a elaboração de planos e protocolos exclusivos de tratamento e acompanhamento., , Minha abordagem é integrativa e humanizada e todo meu trabalho tem base na Neurociência, com foco na Mente e no Comportamento, para que você tenha uma melhor saúde física, mental e emocional, com mais qualidade de vida e maior bem-estar, promovendo caminhos e possibilidades para que você volte a crescer e a se desenvolver em todo o seu potencial, alcançando cada vez mais seus objetivos na vida pessoal e profissional., , Meu trabalho tem caráter curativo e preventivo, a partir de um psicodiagnóstico acurado e com protocolos específicos que possibilitam avanços significativos no tratamento dos sintomas de TDAH, Desatenção, Hiperatividade, Impulsividade, Depressão, Ansiedade, Estresse, Burnout/Esgotamento e Compulsões, incluindo Dependência Química. Isso permite um acompanhamento próximo e quantitativo dos resultados observados já no primeiro mês, com aumento da autonomia, autoconfiança e autoestima., , Isso é importante, já que outros aspectos são afetados quando passamos por desafios como esses e, provavelmente, seja por causa deles que você está aqui hoje, buscando ajuda. Então, não se preocupe, pois tratando as questões de saúde você passa a ter uma vida mais leve, sabendo gerenciar melhor as emoções e pondo fim aos conflitos desnecessários. Com o ganho de autoconhecimento e autopercepção passamos a desenvolver uma comunicação mais assertiva, sendo melhor compreendidos, preferindo nos relacionar de maneira mais saudável, sabendo como se posicionar melhor, impondo limites e fazendo escolhas (pessoais e também profissionais) que farão mais sentido, aumentando nosso sentimento de realização e propósito! Aliás, é comum que durante o processo aqueles antigos sonhos e planos sejam ""tirados do papel""., , Ah, acho importante fazer uma consideração para quem está buscando um profissional psicólogo. Vejo muitas pessoas perguntando sobre uma abordagem ""X"" ou ""Z""... acredite, o processo terapêutico é muito mais que a abordagem. Se dê a chance de passar pelo processo, de experimentar a psicoterapia e as experiências que ela pode propiciar. O resultado não será a abordagem, mas todo o contexto dela e nela. Busque um profissional qualificado para atender a sua demanda, de preferência especializado nas questões que você busca melhorar/tratar, mas experimente passar pelo processo, se permita vivenciá-lo. Mais do que a abordagem, tem o vínculo que será criado entre você e ele, além das técnicas que ele trabalhará com você e a confiança estabelecida ali. De tempos em tempos avalie seu processos, veja com ele os resultados alcançados e estabeleça novos planos se necessário. Meu desejo é que você possa ampliar seu olhar, suas perspectivas e se beneficiae de uma vida com muito mais qualidade e bem-estar, se desenvolvendo em todas as áreas., , Bem, agora que você já conhece um pouco mais sobre como é o processo terapêutico comigo, te convido a agendar aqui sua primeira consulta e iniciar um novo ciclo em sua vida., , Agende diretamente aqui, pela plataforma. Caso não tenha encontrado horário disponível, entre em contato pelo WhatsApp (11) 98993.9933, pois alguns horários podem não estar visíveis.,","Ansiedade, Aprendizagem, Compulsões, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Emagrecimento, Estresse, Medos e Fobias, Neuropsicologia, Psicologia Clínica, Reabilitação Cognitiva, Saúde Mental, Síndrome do Pânico, TDAH (Transtorno de Déficit de Atenção e Hiperatividade), Testes psicológicos, Transtorno de Humor, Transtornos do Sono, Incertezas quanto ao momento e futuro, Desenvolvimento de Competências Profissionais, Avaliação Psicológica, Reabilitação Neuropsicológica",63,5.0
Marcia Regina de Souza pessanha,"Sou Psicóloga clínica formada pela Universidade Gama Filho em 1989., Especialização em Terapia Cognitiva Comportamental., Pós graduação em Psicologia do Trabalho., Experiência em clínica particular e clínica popular com atendimentos psicológicos.,","Ansiedade, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Fobias, Medos e Fobias, Morte e Luto, Psicologia Clínica, Relacionamentos Afetivos, Quarentena e Isolamento Social, Adaptação ao Home Office, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero",144,4.951388888888889
Maria de Fátima Rodrigues Mota,"Seja muito bem vindo(a) ao meu consultório online!, , Sou psicóloga clínica, com ênfase na abordagem terapêutica TCC (terapia cognitivo-comportamental). Nesses an...,","Ansiedade, Conflitos Familiares, Depressão, Medos e Fobias, Morte e Luto, Psicologia Clínica, Síndrome do Pânico, Suicídio, TDAH (Transtorno de Déficit de Atenção e Hiperatividade), TOC (Transtorno Obsessivo Compulsivo), Transtornos do Sono, Violência Doméstica, Quarentena e Isolamento Social, Adaptação ao Home Office, Sexualidade e identidade de gênero",859,4.682188591385332
Daniela Araújo dos Santos,"Olá!! Espero que você esteja bem e saudável! , , Fico extremamente feliz por você querer entender um pouco melhor sobre meu trabalho como terapeuta e embarcar comigo nessa jornada para dentro de si mesma (o). , , Se você sente ou já sentiu que não se conhece verdadeiramente, tem problemas de autoestima e busca sempre a aprovação das pessoas ao seu redor, me deixe entender como posso te ajudar!, , Se você ainda não me conhece, vou me apresentar brevemente: Meu nome é Daniela, nasci na zona leste de São Paulo, sou formada em Psicologia pela Universidade Cruzeiro do Sul e busco atender meus assistidos (forma como chamo meus pacientes) na Abordagem da Psicologia Analítica de Jung. , , Com esta abordagem, visaremos entender os aspectos do inconsciente e compreender quais são os seus sonhos, medos, receios e conectar-se com o verdadeiro Eu. É importante dizer que essa abordagem não é fechada e muito menos estática. Ela se adapta a cada individuo, pois cada um de nós é um universo completo. Ambas as partes estarão em processo de aprendizagem e teremos muito a nos acrescentar. , , Caso a minha energia tenha ressoado com a sua, me mande uma mensagem para que possamos prosseguir nesta jornada!, , Novamente, é um prazer ter você por aqui!! ;) , , Caso queira mais informações, deixo meu wpp à disposição: (11) 95894-0915, , ""Sua visão se tornará clara somente quando você olhar para dentro do seu coração. Quem olha para fora, sonha. Quem olha para dentro, desperta."" - Carl Gustav Jung,","Acompanhamento pessoal, Ansiedade, Casal, Casamento, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Entrevistas Psicológicas, Estresse, Psicologia Clínica, Psicologia Organizacional, Relacionamentos Afetivos, Saúde Mental, Quarentena e Isolamento Social, Adaptação ao Home Office, Incertezas quanto ao momento e futuro, Desenvolvimento de Competências Profissionais, Sexualidade e identidade de gênero, Adolescência",12,5.0
Simone Luiz Sidnei Secco,"Em algum momento percebemos que estamos infelizes e sentimos que precisamos buscar ajuda, esse é o primeiro passo para aqueles que buscam saúde mental. A psicanalise é um método que Freud criou onde vamos trabalhar através da associação livre, fale tudo aquilo que vier a sua mente sem julgamentos e ou restrições. Sozinho é muito difícil mas juntos podemos elaborar essas questões e construir um caminho diferente uma jornada mais leve e possível. ,","Ansiedade, Casal, Casamento, Conflitos Amorosos, Conflitos Familiares, Depressão, Estresse, Família, Medos e Fobias, Psicologia Clínica, Transtorno Bipolar, Transtornos do Sono, Violência Doméstica, Violência Sexual, Sexualidade e identidade de gênero, Sexualidade e Identidade de gênero, Puerpério",269,4.955390334572491
Karina Miyuki,"Atuo na área clínica e organizacional, como psicoterapeuta individual, meus atendimentos são voltados ao público adulto, as sessões tem duração de 40 minutos, atendo de forma particular e convênios, minha área de atuação é a TCC - Terapia Cognitivo Comportamental, que é uma psicoterapia mais voltada para as demandas do presente, suas técnicas estão direcionadas para solucionar problemas atuais, mas sem deixar de olhar o passado e ignorar o futuro, essa abordagem irá ensinar o paciente a desenvolver habilidades afim de modificar/melhorar os pensamentos e os comportamentos., , Meu objetivo aqui é te auxiliar em um processo de reflexão, autoconhecimento, compreensão e mudança, para que você alcance o seu objetivo que é ter uma saúde mental equilibrada e saudável, juntos podemos obter sucesso nessa caminhada., , Tenho experiência em atendimento clínico, organizacional e coaching. Atualmente trabalho apenas com temas relacionados à estresse no trabalho, síndrome de Burnout, desenvolvimento de carreira, orientação profissional e desenvolvimento pessoal, , ,","Acompanhamento pessoal, Aprendizagem, Consultoria Empresarial, Desenvolvimento Pessoal, Estresse, Orientação Profissional, Psicologia Clínica, Psicologia Organizacional, Adaptação ao Home Office, Desenvolvimento de Competências Profissionais, Seleção de pessoal por competências, Recrutamento e seleção de pessoal",91,5.0
Francisco De Noronha Branco Neto,,"Aprendizagem, Casal, Conflitos Amorosos, Dependência Química, Dor, Estresse, Estresse Pós Traumático, Família, Fobias, Idoso / Terceira Idade, Infância, Morte e Luto, Pacientes Enfermos, Pessoas com deficiência, Relacionamentos Afetivos, Sexualidade e identidade de gênero, Questões Raciais, Sexualidade e Identidade de gênero, Adolescência, Ludoterapia",20,4.1
ADRIANA REGINA JULIO,"Olá, primeiramente parabéns pela iniciativa de chegar até aqui!, Seja muito bem-vindo (a) aqui no meu perfil., Estou aqui para lhe ajudar e acolher sem julgamento...,","Ansiedade, Cirurgia Bariátrica, Compulsões, Conflitos Familiares, Dependência Química, Depressão, Fobias, Morte e Luto, Neuropsicologia, Obesidade, Orientação de pais, Síndrome do Pânico, Suicídio, Testes psicológicos, Transtorno Bipolar, Transtorno de Humor, Violência Doméstica, Violência Sexual, Avaliação Psicológica, Sexualidade e identidade de gênero, Adolescência, Recrutamento e seleção de pessoal",124,4.983870967741935
Tamires Brito Gonçalves de Matos,"Apaixonada por margaridas, literatura  brasileira e estrangeira. Paulistana e eterna estudante de Psicologia, gostaria de compartilhar com você o que sei sobre psicoterapia para tornar o processo de se autoconhecer algo muito mais cotidiano e simples, focando no tratamento das suas dificuldades e desenvolvendo seu bem-estar. Trabalho com a abordagem cognitivo-comportamental, que seria uma linha de trabalho baseada em ciência, amplamente estudada e aprimorada com os avanços do conhecimento sobre nós mesmos., ,","Ansiedade, Depressão, Desenvolvimento Pessoal, Estresse, Estresse Pós Traumático, Orientação de pais, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Síndrome do Pânico, Sexualidade e identidade de gênero, Adolescência",92,5.0
Jessica Lais Soares Nunes da Silva,"Atuo a quatro anos no atendimento clínico psicológico na modalidade on-line. Trabalho com a abordagem Logoterapia e Análise Existencial, com formação em Avaliação e Intervenção em TEA; em Logoterapia Clínica infantil, pós-graduação em Avaliação Psicológica em curso. Atendo presencialmente em São Bernardo do Campo/SP na Clínica Self um público composto por adolescentes e adultos que se encontram em condição de sofrimento. Na clínica acompanho pessoas com queixas de Vazio Existencial, Crise de ansiedade, Depressão, Pânico, Transtornos de Humor, Transtornos alimentares., O Processo de psicoterapia  ocorre em forma de encontros (Vídeo chamada) com frequência semanal , não é uma consulta ou conversa pontual é um serviço de acompanhamento de um outro que se disponibiliza a olhar para suas questões através de uma perspectiva diferente. Exige disponibilidade, frequência e veículo. Espero que possamos nos conhecer. , Desejo te ajudar a cultivar um bem-estar pautado na construção de um ""saber sofrer"": não devemos esquecer de aproveitar o que é vivido perante o nosso contato com a dor da mudança, do crescer, do viver. Espero que o nosso encontro lhe sirva nesse processo de busca pelo autocuidado., Atuo com ética e atenção à sua individualidade, minha escuta é acolhedora, atenta e empática. , Aguardo seu contato, será um prazer encontra-lo!,","Acompanhamento psicológico de Gravidez, Acompanhamento pessoal, Adoção de Filhos, Ansiedade, Casamento, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Fobias, Medos e Fobias, Morte e Luto, Saúde Mental, TDAH (Transtorno de Déficit de Atenção e Hiperatividade), Transtornos Alimentares (Bulimia, Anorexia, etc), Incertezas quanto ao momento e futuro, Desenvolvimento de Competências Profissionais, Sexualidade e identidade de gênero, Maternidade",9,5.0
Luciane Pereira Maia Silveira,"Meu nome é Luciane mas também conhecida como Lu ou Tia Lu! Sou de Petrópolis, região serrana do RJ, fã número 1 da friaca dessa cidade , , Sou psicóloga, assistente terapêutica, filha, noiva, amiga, irmã, prima, sobrinha e tia…, , Faço pós-graduação em Terapia Cognitiva-Comportamental e em Neuropsicologia, além disso, tenho curso de assistente terapêutica, terapia ABA e alguns outros. , , Tanto as nossas ações, quanto as nossas relações, refletem diariamente na forma como nos enxergamos no mundo e como lidamos com as diversas situações., O autoconhecimento é uma ferramenta para que possamos construir um caminho onde a cada dia possamos melhorar nossas ações e relações, tanto conosco, quanto com aqueles a nossa volta., Te convido a olhar para dentro com mais atenção e carinho. Vamos juntos?,","Acompanhamento pessoal, Ansiedade, Aprendizagem, Casal, Casamento, Compulsões, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Família, Infância, Neuropsicologia, Orientação de pais, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Incertezas quanto ao momento e futuro, Adolescência, Maternidade, Parentalidade",20,4.95
VITOR JUNIOR DA SILVA PINTO,"Olá, seja bem-vindo(a)! Se você chegou até o meu perfil é sinal de que está em busca de apoio para algum aspecto da sua vida e se preocupa com sua saúde mental., Meu nome é Vitor, sou Psicólogo Clínico,  e em toda minha carreira busquei auxiliar pessoas em seu processo de evolução. Sou graduado em Psicologia, com especialização em Gestão de Pessoas e Educação Corporativa e formação de Coach . Atuo há mais de 10 anos ajudando as pessoas a elaborar suas dores e com o desenvolvimento pessoal/profissional, para que possam assumir a direção daquilo que é importante para sua vida., Atendo em horários alternativos, de forma online ou presencial, no processo terapêutico de orientação Psicanalítica, atendendo jovens, adultos e idosos., Clique no painel abaixo e agende uma sessão comigo!, ,","Ansiedade, Conflitos Amorosos, Conflitos Familiares, Dependência Química, Desenvolvimento Pessoal, Estresse, Família, Fobias, Medos e Fobias, Morte e Luto, Orientação de pais, Orientação Profissional, Psicologia Clínica, Psicologia Organizacional, Saúde Mental, Transtorno de Humor, Quarentena e Isolamento Social, Incertezas quanto ao momento e futuro, Desenvolvimento de Competências Profissionais, Sexualidade e identidade de gênero, Adolescência",0,0
Fabrizio Serodio Gimenes,"Sou Psicólogo formado pela PUCRS em 2012 e desde então atuo na psicologia clínica com o meu trabalho focado na Psicanálise atendendo adolescentes e adultos. Meu objetivo é de auxiliar os seus pacientes/clientes a lidar com suas dificuldades (ansiedade, estresse, depressão, timidez, dificuldades nos relacionamentos sociais, familiares e afetivos, baixa autoestima, insegurança, dificuldades no trabalho, entre outros), ativando suas emoções e redescobrindo-se (pessoas que buscam um auto-conhecimento e assim desenvolver suas potencialidades que não estão aparente). , Atuo também na área da Psicologia do Esporte com atletas iniciantes, amadores e de auto-rendimento ajudando-os a atingirem seu máximo rendimento, a desenvolver metas e pessoas que buscam uma melhor qualidade de vida no esporte. , Para esclarecimento de dúvidas entre em contato, agende a sua consulta para conhecer como funciona um tratamento psicológico.,","Ansiedade, Aprendizagem, Conflitos Amorosos, Depressão, Esporte, Estresse, Estresse Pós Traumático, Fobia Social, Fobias, Medos e Fobias, Orientação psicológica, Psicologia Clínica, Saúde Mental, Síndrome do Pânico, Suicídio, TDAH (Transtorno de Déficit de Atenção e Hiperatividade), TOC (Transtorno Obsessivo Compulsivo), Transtorno Bipolar, Transtorno de Humor, Adaptação ao Home Office, Adolescência, Tecnologia",0,0
Hugo Luiz Araújo José,"Olá, seja bem-vindo(a)!, , Meu nome é Hugo Araújo, e eu sou psicólogo clínico, formado pela USP. Tenho experiência de atendimento de mais de 2 anos na Clínica-Escola do Instituto de Psicologia da USP (IPUSP). Também realizei estágios no Plantão de Acolhimento Psicológico do IPUSP e no Instituto de Psiquiatria da USP., , Trabalho com a terapia cognitivo-comportamental (TCC), uma forma de psicoterapia baseada em evidências empíricas de sua eficácia. Ela é recomendada para uma ampla gama de transtornos, entre eles, ansiedade e depressão., , As sessões são um espaço para que você possa falar sobre seus problemas e dificuldades, de maneira livre e espontânea, sem julgamentos. Juntos, trabalharemos como uma equipe, definindo objetivos e trabalhando em direção a eles. Todo o processo é pensado junto com você, de maneira aberta, de modo que você entenda os “porquês” das intervenções e atividades da psicoterapia. , , Se você estiver passando por algum tipo de dificuldade, ou até mesmo buscando se conhecer melhor, a psicoterapia é uma ferramenta muito importante para te ajudar nesta caminhada., , Fique à vontade para entrar em contato comigo:, whatsapp: (11) 993559190, linktr.ee/psihugoaraujo,","Ansiedade, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Fobia Social, Medos e Fobias, Morte e Luto, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Quarentena e Isolamento Social, Adaptação ao Home Office, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero",3,5.0
